Year,Month,Employee Number,Total Cost,Other Cost,Cost of International,Cost of DATA,Cost of Roaming data,Cost of SMS,Cost of Roaming,Cost of Services,Cost of Other Mobile Networks,Cost of Landline,Plans,Features,Tax,Discount,Other,Duration of International,Duration of On net,Number of SMS,Duration of Roaming,Duration of Services,Duration of Other Mobile Networks,Duration of Landline,Number of International Calls,Number of On net Calls,Number of Roaming Calls,Number of Services Calls,Number of Other Mobile Networks calls,Number of Landline Calls,Volume of DATA,Volume of Roaming data,Carrier,Plans_1
2020,January,374395,114.12,113.52,0.6,0,0,0,0,0,0,0,98.75,0,14.77,0,0,0.125,0,125,0,1.833333333,8.791666667,41.79166667,2,0,0,3,23,105,18331.97,0,Verizon US,Unl Min 15gb Email+Mhs Shr
2020,January,344467,70.38,65.96,4.42,0,0,0,0,0,0,0,65,0,14.61,-13.65,0,1.083333333,0,154,0,5.916666667,61.29166667,63.875,1,0,0,15,207,163,11095.04,0,Verizon US,4g Nw Unl Min&Msg+Email&Data
2020,January,259859,127.47,44.43,0,17.3,6,0,0,60,0,0,80,3.99,9.6,-36.04,0,0,0.875,200,0.166666667,2.083333333,0.416666667,32.54166667,0,3,4,39,3,35,9412.67,1448.14,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,85072,103.96,70.86,8.1,0,0,0,0,25,0,0,65,0,19.51,-13.65,0,2.291666667,0,299,2.708333333,3.958333333,31,45.70833333,3,0,9,17,70,87,27628.54,0,Verizon US,4g Nw Unl Min&Msg+Email&Data
2020,January,223379,60.41,46.28,4.88,9.25,0,0,0,0,0,0,80,3.99,11.45,-36.04,0,5.791666667,1.208333333,27,0,0.708333333,6.875,31.33333333,6,4,0,81,33,88,7425.81,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,351258,227.35,66.42,0.18,28.78,12,0,0,120,0,0,80,3.99,12.59,-17.04,0,0.083333333,0,173,0.416666667,0.583333333,7.25,22.25,1,0,9,76,47,93,7478.43,5306.92,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,375361,95.62,75.62,0,0,0,0,0,20,0,0,130,10,17.92,-82.3,0,0.083333333,0,290,0.041666667,2.541666667,9.916666667,20.25,2,0,1,9,53,59,3061.76,0,Verizon US,4g Nw Unl Min&Msg+Email&Data
2020,January,341313,44.68,-13.76,0,2.12,6,0,0,50,0,0,0,0,0,0,0,0,1.166666667,112,0.5,1.041666667,8.458333333,17.91666667,0,3,4,30,35,61,4899.99,2315.23,ATT US,
2020,January,376794,215.51,65.06,0.3,150.15,0,0,0,0,0,0,80,3.99,11.23,-17.04,0,0.041666667,7.583333333,150,0,2.083333333,11.41666667,49.58333333,1,15,0,26,37,93,42460.02,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,373086,64.94,64.94,0,0,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0.125,2,190,9.666666667,0.5,0.375,5.708333333,1,2,22,6,2,22,178.85,872.75,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,372852,69.54,69.54,0,0,0,0,0,0,0,0,55,0,14.54,0,0,0,0,0,0,0,0.875,3.208333333,0,0,0,0,2,7,518.69,0,Verizon US,Unl Min 5gb Email+Mhs Shr
2020,January,342133,65.77,64.94,0,0.83,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,0,308,0,0,0.333333333,3.125,0,0,0,48,2,22,5326.42,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,126201,158.28,78.56,7.92,0,70,0,1,0.6,0,0,61,0,17.56,0,0,3.666666667,0,165,0.25,1.291666667,3.791666667,7.625,4,0,5,7,25,36,18050.19,2048,Verizon US,Unl Min 7gb Email+Mhs Shr
2020,January,249312,102.31,71.45,17.05,6.69,7,0,0,0,0,0,80,3.99,17.62,-17.04,0,4.583333333,1.25,4,0.125,4.291666667,2.916666667,11.08333333,6,4,2,14,14,77,3300.14,5252.43,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,372853,64.94,64.94,0,0,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,0.583333333,682,0,14.33333333,11.83333333,35.33333333,0,1,0,43,25,77,4770,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,370271,141.57,99.12,0,0,35,7.45,0,0,0,0,124.81,0,8.5,-34.19,0,0,0,558,0,0.5,1.333333333,3.375,0,0,0,3,9,22,888.58,1024,Verizon US,Unl Min 10gb Email+Mhs Shr
2020,January,298781,135.17,59.64,0,25.53,0,0,0,50,0,0,80,3.99,5.81,-17.04,0,0,0,250,0.958333333,14.625,2.583333333,5.541666667,0,0,4,33,9,20,10707.61,763.61,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,355689,64.28,64.28,0,0,0,0,0,0,0,0,65,0,12.93,-13.65,0,0,0,89,0,0.833333333,0.833333333,8.833333333,0,0,0,2,3,17,5283.84,0,Verizon US,4g Nw Unl Min&Msg+Email&Data
2020,January,344356,60.08,60.08,0,0,0,0,0,0,0,0,60,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verizon US,4g Mbb 10gb Share
2020,January,324222,60.08,60.08,0,0,0,0,0,0,0,0,60,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400.1,0,Verizon US,4g Mbb 10gb Share
2020,January,341313,128.06,128.06,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verizon US,
2020,January,324728,324.58,69.09,0,0,175,0.3,79,0.99,0,0,55,0,14.09,0,0,0,0,19,3.333333333,0.041666667,0,0.625,0,0,25,1,0,1,0,6144,Verizon US,Unl Min 5gb Email+Mhs Shr
2020,January,361475,269.42,64.94,0,4.48,0,0,0,200,0,0,80,3.99,11.11,-17.04,0,0,1.125,5,16.875,0.041666667,0.041666667,1.666666667,0,2,50,28,1,8,2746.55,3505.82,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,359773,60.08,60.08,0,0,0,0,0,0,0,0,60,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.87,0,Verizon US,4g Mbb 10gb Share
2020,January,344464,60.08,60.08,0,0,0,0,0,0,0,0,60,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.62,0,Verizon US,4g Mbb 10gb Share
2020,January,12889,141.32,82.54,15.73,0,35,1.65,6,0,0,0,61,0,21.54,0,0,12.79166667,0,77,1.083333333,3.083333333,2.416666667,59,10,0,3,4,3,45,1295.15,2048,Verizon US,Unl Min 7gb Email+Mhs Shr
2020,January,304170,138.32,69.56,0,0,35,0.1,34,0,0,0,55,0,14.56,0,0,0,0,58,1.416666667,1.833333333,0.75,18.95833333,0,0,14,7,3,22,3266.83,2048,Verizon US,Unl Min 5gb Email+Mhs Shr
2020,January,275443,220.11,86.51,5.6,0,110,0,18,0,0,0,80,3.99,32.68,-17.04,0,1.458333333,0.291666667,23,0.291666667,3.458333333,0.041666667,1.5,7,2,4,9,1,15,744.19,3122.44,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,348977,60.08,60.08,0,0,0,0,0,0,0,0,60,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.87,0,Verizon US,4g Mbb 10gb Share
2020,January,341974,157.1,157.1,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verizon US,
2020,January,359922,134.89,64.94,0,69.95,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,1.208333333,92,0,4.125,14,16.41666667,0,4,0,21,57,78,22525.69,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,357328,100.82,46.92,0,0,35,0,19,0,0,0,55,0,11.92,-20,0,0,0,70,0.416666667,2.375,11.75,18.41666667,0,0,2,6,47,42,3020.16,1024,Verizon US,Unl Min 5gb Email+Mhs Shr
2020,January,352480,81.59,81.59,0,0,0,0,0,0,0,0,44.99,93.98,12.14,-20.4,0,0,0,333,0,0.916666667,3,55.375,0,0,0,106,17,80,7194.23,0,ATT US,BMBPNTN450UNWUMM
2020,January,106232,147.13,75.79,0,0,70,0.35,1,0,0,0,61,0,14.79,0,0,0,0,43,0.041666667,0.041666667,4.208333333,17.20833333,0,0,1,1,36,77,3123.47,3072,Verizon US,Unl Min 7gb Email+Mhs Shr
2020,January,357241,53.18,53.18,0,0,0,0,0,0,0,0,61,0,12.18,-20,0,0,0,60,0,0.458333333,21.5,24.33333333,0,0,0,2,83,84,8931.66,0,Verizon US,Unl Min 7gb Email+Mhs Shr
2020,January,104992,71.03,69.58,1.45,0,0,0,0,0,0,0,61,0,8.58,0,0,0.375,0,464,0,4.208333333,58.70833333,83.5,2,0,0,13,291,320,1660,0,Verizon US,Unl Min 7gb Email+Mhs Shr
2020,January,363264,62.04,61.21,0,0.83,0,0,0,0,0,0,80,3.99,7.38,-17.04,0,0,0.25,114,0,6.208333333,6.875,40.91666667,0,1,0,61,13,77,5338.11,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,344464,77.79,77.79,0,0,0,0,0,0,0,0,44.99,93.98,12.14,-19.2,0,0,1.041666667,628,0,2.083333333,3.5,14.66666667,0,7,0,29,24,48,8888.74,0,ATT US,BMBPNTN450UNWUMM
2020,January,27006,146.74,73.01,21.17,22.56,0,0,0,30,0,0,80,3.99,19.18,-17.04,45,4.5,1.791666667,61,9.375,5.541666667,11.04166667,79.375,10,5,23,44,68,128,9779.93,959.94,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,372767,66.06,65.25,0.81,0,0,0,0,0,0,0,80,3.99,11.42,-17.04,0,0.125,1.791666667,316,0.375,3.666666667,13.375,20.75,1,9,2,39,39,53,4585.63,130.57,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,372862,113.29,113.29,0,0,0,0,0,0,0,0,98.75,0,14.54,0,0,0,0,96,0,9.875,8.375,16.95833333,0,0,0,11,17,57,6640.29,0,Verizon US,Unl Min 15gb Email+Mhs Shr
2020,January,354704,91.25,84.25,7,0,0,0,0,0,0,0,44.99,93.98,14.8,-20.4,0,1.041666667,2.125,197,0,7.291666667,8.583333333,46.54166667,1,5,0,83,72,106,9268.19,0,ATT US,BMBPNTN450UNWUMM
2020,January,348953,68.95,51.19,17.76,0,0,0,0,0,0,0,80,3.99,16.36,-36.04,0,2.708333333,15.33333333,95,0,4.958333333,8.458333333,110.7083333,7,34,0,38,22,133,2167.28,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,357689,144.43,44.43,0,0,0,0,0,100,0,0,80,3.99,9.6,-36.04,0,0,0,2,0.833333333,0,0,0,0,0,4,12,0,0,0,56.77,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,344357,87.06,67.06,0,0,0,0,0,20,0,0,65,0,15.71,-13.65,0,0,0,90,0.041666667,0,0.791666667,13.58333333,0,0,1,5,6,34,14710.78,0,Verizon US,4g Nw Unl Min&Msg+Email&Data
2020,January,4363,59.64,59.64,0,0,0,0,0,0,0,0,80,3.99,5.81,-17.04,0,0,1.791666667,48,0,33,4.291666667,10.70833333,0,5,0,21,37,62,310.52,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,1850,82.3,81.78,0.52,0,0,0,0,0,0,0,44.99,93.98,12.33,-20.4,0,0.083333333,1.5,40,0,1.708333333,1.416666667,42.75,2,11,0,84,25,89,5880.08,0,ATT US,BMBPNTN450UNWUMM
2020,January,11344,65.66,62.41,3.25,0,0,0,0,0,0,0,80,3.99,8.58,-17.04,0,0.583333333,2.958333333,233,0,0.416666667,6.791666667,23.45833333,1,6,0,93,45,45,2637.97,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,344466,209.79,84.78,0,0,70,1.55,53,0,0,0,61,0,23.78,0,0,0,0,101,2.25,12.83333333,9.791666667,17.33333333,0,0,8,11,26,64,6655.09,2048,Verizon US,Unl Min 7gb Email+Mhs Shr
2020,January,357339,64.28,64.28,0,0,0,0,0,0,0,0,65,0,12.93,-13.65,0,0,0,118,0,1.416666667,12.91666667,16.79166667,0,0,0,5,60,106,27634.69,0,Verizon US,4g Nw Unl Min&Msg+Email&Data
2020,January,356249,80.5,64.94,0,15.56,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,0.041666667,374,0,0.125,2.041666667,12.625,0,1,0,42,12,31,8996.73,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,185412,53.18,53.18,0,0,0,0,0,0,0,0,61,0,12.18,-20,0,0,0,400,0,2.833333333,5.375,5.833333333,0,0,0,5,15,35,2073.74,0,Verizon US,Unl Min 7gb Email+Mhs Shr
2020,January,354533,81.59,81.59,0,0,0,0,0,0,0,0,44.99,93.98,12.14,-20.4,0,0,0,598,0,0.333333333,38.29166667,33.16666667,0,0,0,29,52,63,10654.3,0,ATT US,BMBPNTN450UNWUMM
2020,January,5812,75.54,75.54,0,0,0,0,0,0,0,0,61,0,14.54,0,0,0,0,152,0,0.125,5,12.58333333,0,0,0,1,34,51,3676.61,0,Verizon US,Unl Min 7gb Email+Mhs Shr
2020,January,357954,46.92,46.92,0,0,0,0,0,0,0,0,55,0,11.92,-20,0,0,0,139,0,2.583333333,10.70833333,25.25,0,0,0,13,28,56,5835.95,0,Verizon US,Unl Min 5gb Email+Mhs Shr
2020,January,359366,147.32,65.08,0.36,81.88,0,0,0,0,0,0,80,3.99,11.25,-17.04,0,0.166666667,1.208333333,413,0,8.5,6.291666667,14.95833333,1,5,0,79,27,79,25486.4,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,357530,226.61,64.94,0,11.67,0,0,0,150,0,0,80,3.99,11.11,-17.04,0,0,0,91,0.416666667,4.625,0.083333333,0.416666667,0,0,6,91,2,7,4769.84,3255.27,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,356215,67.45,64.94,0,2.51,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,0.333333333,183,0,3.708333333,9.666666667,88.75,0,2,0,66,14,98,5746.33,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,348862,75.54,75.54,0,0,0,0,0,0,0,0,61,0,14.54,0,0,0,0,244,0,3.083333333,6.916666667,74.875,0,0,0,5,26,109,8491.68,0,Verizon US,Unl Min 7gb Email+Mhs Shr
2020,January,352482,64.28,64.28,0,0,0,0,0,0,0,0,65,0,12.93,-13.65,0,0,0,633,0,15.875,13.91666667,49.125,0,0,0,10,13,75,23815.17,0,Verizon US,4g Nw Unl Min&Msg+Email&Data
2020,January,371535,269.05,86.59,0,5.73,153,0.5,3,20,0,0,80,3.99,32.76,-17.04,0,0,0,63,0.375,4.75,1.5,14,0,0,6,19,20,56,6549.66,5204.73,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,5116,64.28,64.28,0,0,0,0,0,0,0,0,65,0,12.93,-13.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verizon US,4g Nw Unl Min&Msg+Email&Data
2020,January,352521,116.3,44.61,0.45,40.74,0,0,0,30,0,0,80,3.99,9.78,-36.04,0,0.208333333,0.75,595,0.416666667,7,7.125,30.16666667,2,2,2,37,43,102,15251.61,131.64,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,349345,85.73,85.73,0,0,0,0,0,0,0,0,98.75,0,6.98,-20,0,0,0,164,0,0.541666667,3.416666667,6.708333333,0,0,0,4,13,23,14200.6,0,Verizon US,Unl Min 15gb Email+Mhs Shr
2020,January,26087,75.54,75.54,0,0,0,0,0,0,0,0,61,0,14.54,0,0,0,0,81,0,1.958333333,4.083333333,20.66666667,0,0,0,4,21,45,5677.88,0,Verizon US,Unl Min 7gb Email+Mhs Shr
2020,January,33165,64.94,64.94,0,0,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,2.291666667,131,0,3.958333333,3.791666667,20.875,0,1,0,33,4,55,2474.92,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,66361,77.31,67.88,9.43,0,0,0,0,0,0,0,65,0,16.53,-13.65,0,1.75,0,330,0,1.166666667,21.16666667,45.91666667,1,0,0,5,122,126,13637.63,0,Verizon US,4g Nw Unl Min&Msg+Email&Data
2020,January,334902,104.04,66.86,0,37.18,0,0,0,0,0,0,80,13.99,8.03,-17.04,0,2.541666667,4.458333333,45,0,7.833333333,26.125,47,2,11,0,83,220,228,14364.22,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,371213,64.28,64.28,0,0,0,0,0,0,0,0,65,0,12.93,-13.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713.73,0,Verizon US,4g Nw Unl Min&Msg+Email&Data
2020,January,372874,64.94,64.94,0,0,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,0.625,0,0,3.625,1.125,2.875,0,1,0,4,6,10,2116.49,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,357623,229.15,64.94,0,4.21,0,0,0,160,0,0,80,3.99,11.11,-17.04,0,0,0,6,0,0,0,0.916666667,0,0,0,16,0,2,1563.93,4625.21,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,344472,110.54,75.54,0,0,35,0,0,0,0,0,61,0,14.54,0,0,0,0,92,0,8,3.375,19.70833333,0,0,0,13,16,57,4456.58,1024,Verizon US,Unl Min 7gb Email+Mhs Shr
2020,January,365343,44.43,44.43,0,0,0,0,0,0,0,0,80,3.99,9.6,-36.04,0,0,0.041666667,713,0,1.875,22.66666667,19.20833333,0,1,0,41,56,51,4076.84,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,372907,64.94,64.94,0,0,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,0,0,0,0,3.416666667,9.041666667,0,0,0,0,3,19,1497.63,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,347003,78.31,68.63,9.68,0,0,0,0,0,0,0,80,3.99,14.8,-17.04,0,0.5,0,11,0,3.875,0.208333333,6.875,2,0,0,7,4,19,707.85,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,310228,108.04,86.23,0.26,0,0,3.25,8,9.9,0,0,44.99,93.98,16.78,-20.4,0,0.041666667,0,149,1.166666667,7.916666667,3.125,34.25,1,0,22,45,8,57,10628.4,10301.72,ATT US,BMBPNTN450UNWUMM
2020,January,210734,120.55,88.98,0.09,28.25,3,0,0,0,0,0,80,3.99,11.15,-17.04,0,0.375,0.041666667,161,11.375,12.625,2.291666667,10.33333333,3,1,30,68,14,46,9274.42,3674.86,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,357397,67.42,65.62,1.8,0,0,0,0,0,0,0,80,3.99,11.79,-17.04,0,0.75,0,0,0,1.166666667,0,3.541666667,4,0,0,9,0,12,1631.96,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,341545,71.95,64.94,0,7.01,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,0.75,6,0,0,3.25,23.20833333,0,2,0,0,8,45,6868.33,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,342467,73.58,64.94,0,8.64,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,2.416666667,599,0,1.458333333,3.125,26.58333333,0,3,0,35,9,57,7271.85,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,341320,176.29,65.29,0.9,5.13,5,0,0,100,0,0,80,3.99,11.46,-17.04,0,0.208333333,5.125,272,0,5.916666667,6.166666667,29.08333333,1,12,0,35,21,55,5296.12,2336.02,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,224353,76.34,66.34,0,0,10,0,0,0,0,0,80,3.99,12.51,-17.04,0,0,5.083333333,132,0,0.083333333,8.875,52.125,0,20,0,14,23,62,4867,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,346585,123.1,64.94,0,58.16,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,2.375,26,0,1.958333333,9.083333333,29.375,0,12,0,44,117,105,19586.51,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,343264,64.94,64.94,0,0,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,0,14,0,4.416666667,6.333333333,64.08333333,0,0,0,8,10,62,4164.97,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,341317,130.64,68.94,0,61.69,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,0.208333333,141,0,0.75,7.5,12.875,0,1,0,90,46,80,20456.44,2.73,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,341422,177.24,64.94,0,112.3,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,3.041666667,593,0,10.125,49.33333333,133.875,0,10,0,52,121,307,33050.06,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,371874,-22.06,-22.06,0,0,0,0,0,0,0,0,0,0,-2.54,0,0,0,0,1,0,0,0,0.625,0,0,0,0,0,5,391.11,0,Verizon US,
2020,January,371296,64.94,64.94,0,0,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,0.583333333,1,0,0.208333333,1.458333333,27.75,0,2,0,2,3,26,1191.62,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,205297,225.85,68.64,9.72,3.99,4,0,0,140,0,0,80,3.99,14.81,-17.04,0,1.625,0.5,35,1.416666667,3.083333333,2.291666667,9.083333333,6,3,19,66,11,56,3575.8,3418.86,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,324705,160.76,72.7,7.56,0,20,0.5,0,60,0,0,80,3.99,16.87,-17.04,0,1.125,0,17,0.5,2,0.958333333,1.75,1,0,1,8,4,8,384.41,2150.77,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,369615,64.94,64.94,0,0,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,0,0,0,1.125,0,4.083333333,0,0,0,1,0,7,75.31,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,372437,57.28,57.28,0,0,0,0,0,0,0,0,70,3.99,11.05,-14.64,0,0,0,9,0,13.33333333,0,6.333333333,0,0,0,19,0,11,1315.75,0,ATT US,Mobile Select 3GB Pool iPhone on 4G LTE VVM
2020,January,369016,64.28,64.28,0,0,0,0,0,0,0,0,65,0,12.93,-13.65,0,0.041666667,0,239,0,4,12,75.25,1,0,0,9,53,107,15502.34,0,Verizon US,4g Nw Unl Min&Msg+Email&Data
2020,January,232013,64.94,64.94,0,0,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0.041666667,2.375,417,0,20.875,10.16666667,72.58333333,1,5,0,38,48,147,1610.1,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,46492,86.53,64.94,0,21.59,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,15.54166667,174,0,10.625,9.166666667,34.625,0,46,0,32,66,113,10499.52,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,352490,78.98,78.98,0,0,0,0,0,0,0,0,73.39,0,21,-15.41,0,0,0,0,0,0,0.041666667,0,0,0,0,0,1,0,6.14,0,Verizon US,4g Nw Unl Min&Msg+Email&Data
2020,January,38705,100.64,70.64,0,0,0,0,0,30,0,0,80,13.99,11.81,-17.04,0,0,0,1,1.625,0.083333333,0.666666667,0.916666667,0,0,3,7,8,4,22.63,34.3,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,343042,76.54,76.54,0,0,0,0,0,0,0,0,115,3.99,8.27,-46.6,0,0,0,0,0,0.125,0,0,0,0,0,3,0,0,4039.53,0,ATT US,Mob Sel Priority 10GB Pool iPhone 4G LTE VVM
2020,January,243655,69.59,66.23,3.36,0,0,0,0,0,0,0,80,3.99,12.4,-17.04,0,0.5,15.41666667,250,0,33.16666667,10.875,76.25,1,40,0,79,31,145,1522.79,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,306984,77.79,77.79,0,0,0,0,0,0,0,0,44.99,93.98,12.14,-19.2,0,0,2.625,102,0,4.375,10,46.29166667,0,5,0,212,45,126,13820.78,0,ATT US,BMBPNTN450UNWUMM
